"trade_date","open_hfq","high_hfq","low_hfq","close_hfq","volume","turnover","adjust_type","source","download_time"
"2025-01-02","100","100.8","99.2","100","100000000","1000000000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-01-03","100.04","100.9407","99.2397","100.1396","100010000","1000100000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-01-06","100.16","101.3359","99.3587","100.5316","100040000","1000400000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-01-07","100.2","101.4502","99.3984","100.645","100050000","1000500000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-01-08","100.24","101.5521","99.4381","100.7461","100060000","1000600000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-01-09","100.28","101.6399","99.4778","100.8332","100070000","1000700000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-01-10","100.32","101.7123","99.5174","100.905","100080000","1000800000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-01-13","100.44","101.8302","99.6365","101.022","100110000","1001100000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-01-14","100.48","101.8364","99.6762","101.0282","100120000","1001200000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-01-15","100.52","101.8273","99.7158","101.0192","100130000","1001300000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-01-16","100.56","101.8043","99.7555","100.9963","100140000","1001400000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-01-17","100.6","101.7689","99.7952","100.9612","100150000","1001500000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-01-20","100.72","101.6117","99.9142","100.8053","100180000","1001800000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-01-21","100.76","101.5661","99.9389","100.7448","100190000","1001900000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-01-22","100.8","101.6064","99.8793","100.6847","100200000","1002000000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-01-23","100.84","101.6467","99.8227","100.6278","100210000","1002100000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-01-24","100.88","101.687","99.772","100.5766","100220000","1002200000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-01-27","101","101.808","99.6782","100.482","100250000","1002500000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-01-28","101.04","101.8483","99.673","100.4768","100260000","1002600000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-01-29","101.08","101.8886","99.6833","100.4871","100270000","1002700000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-01-30","101.12","101.929","99.7098","100.5139","100280000","1002800000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-01-31","101.16","101.9693","99.753","100.5575","100290000","1002900000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-02-03","101.28","102.0902","99.9795","100.7858","100320000","1003200000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-02-04","101.32","102.1306","100.084","100.8911","100330000","1003300000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-02-05","101.36","102.1709","100.2003","101.0084","100340000","1003400000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-02-06","101.4","102.2112","100.3264","101.1354","100350000","1003500000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-02-07","101.44","102.2515","100.4598","101.2699","100360000","1003600000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-02-10","101.56","102.5046","100.7475","101.6911","100390000","1003900000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-02-11","101.6","102.6427","100.7872","101.8281","100400000","1004000000","Backward","SYNTHETIC_TEST_ONLY",""
