"symbol","stock_code","component_name","sw_level1_name","attention_rank_score","comment_score","focus_score","attention_bucket","attention_catalyst_flag","eastmoney_hot_rank","eastmoney_up_rank","xueqiu_follow_rank","xueqiu_tweet_rank","xueqiu_deal_rank","data_status"
"000012.SZ","000012","南  玻A","未映射",,,,"缺失","False",,,,,,"missing"
"000028.SZ","000028","国药一致","医药生物",,,,"缺失","False",,,,,,"missing"
"000029.SZ","000029","深深房A","未映射",,,,"缺失","False",,,,,,"missing"
"000030.SZ","000030","富奥股份","汽车",,,,"缺失","False",,,,,,"missing"
"000035.SZ","000035","中国天楹","环保",,,,"缺失","False",,,,,,"missing"
"000048.SZ","000048","京基智农","农林牧渔",,,,"缺失","False",,,,,,"missing"
"000049.SZ","000049","德赛电池","电力设备",,,,"缺失","False",,,,,,"missing"
"000058.SZ","000058","深赛格","商贸零售",,,,"缺失","False",,,,,,"missing"
"000059.SZ","000059","华锦股份","石油石化",,,,"缺失","False",,,,,,"missing"
"000061.SZ","000061","农 产 品","商贸零售",,,,"缺失","False",,,,,,"missing"
"000065.SZ","000065","北方国际","建筑装饰",,,,"缺失","False",,,,,,"missing"
"000089.SZ","000089","深圳机场","交通运输",,,,"缺失","False",,,,,,"missing"
"000099.SZ","000099","中信海直","交通运输",,,,"缺失","False",,,,,,"missing"
"000156.SZ","000156","华数传媒","传媒",,,,"缺失","False",,,,,,"missing"
"000403.SZ","000403","派林生物","医药生物",,,,"缺失","False",,,,,,"missing"
"000420.SZ","000420","吉林化纤","基础化工",,,,"缺失","False",,,,,,"missing"
"000422.SZ","000422","湖北宜化","基础化工",,,,"缺失","False",,,,,,"missing"
"000498.SZ","000498","山东路桥","建筑装饰",,,,"缺失","False",,,,,,"missing"
"000503.SZ","000503","国新健康","计算机",,,,"缺失","False",,,,,,"missing"
"000506.SZ","000506","招金黄金","有色金属",,,,"缺失","False",,,,,,"missing"
"000534.SZ","000534","万泽股份","医药生物",,,,"缺失","False",,,,,,"missing"
"000543.SZ","000543","皖能电力","公用事业",,,,"缺失","False",,,,,,"missing"
"000550.SZ","000550","江铃汽车","汽车",,,,"缺失","False",,,,,,"missing"
"000552.SZ","000552","甘肃能化","煤炭",,,,"缺失","False",,,,,,"missing"
"000555.SZ","000555","神州信息","计算机",,,,"缺失","False",,,,,,"missing"
"000563.SZ","000563","陕国投A","未映射",,,,"缺失","False",,,,,,"missing"
"000567.SZ","000567","海德股份","非银金融",,,,"缺失","False",,,,,,"missing"
"000581.SZ","000581","威孚高科","汽车",,,,"缺失","False",,,,,,"missing"
"000600.SZ","000600","建投能源","公用事业",,,,"缺失","False",,,,,,"missing"
