"symbol","stock_code","component_name","sw_level1_name","has_recent_contract","recent_contract_count","has_near_unlock","near_unlock_count","unlock_risk_level","event_catalyst_score","event_tags","data_status"
"002636.SZ","002636","金安国纪","电子","False","0","False","0","无","0","","ok"
"603127.SH","603127","昭衍新药","医药生物","False","0","False","0","无","0","","ok"
"301217.SZ","301217","铜冠铜箔","电力设备","False","0","False","0","无","0","","ok"
"002859.SZ","002859","洁美科技","电子","False","0","False","0","无","0","","ok"
"000636.SZ","000636","风华高科","电子","False","0","False","0","无","0","","ok"
"301225.SZ","301225","恒勃股份","汽车","False","0","False",,"无","0","","ok"
"688766.SH","688766","普冉股份","电子","False","0","False","0","无","0","","ok"
"688380.SH","688380","中微半导","电子","False","0","False","0","无","0","","ok"
"002755.SZ","002755","奥赛康","医药生物","False","0","False","0","无","0","","ok"
"300007.SZ","300007","汉威科技","机械设备","False","0","False","0","无","0","","ok"
"603124.SH","603124","江南新材","未映射","False","0","False","0","无","0","","ok"
"603730.SH","603730","岱美股份","汽车","False","0","False","0","无","0","","ok"
"688484.SH","688484","南芯科技","电子","False","0","False","0","无","0","","ok"
"688146.SH","688146","中船特气","电子","False","0","False","0","无","0","","ok"
"605116.SH","605116","奥锐特","医药生物","False","0","False","0","无","0","","ok"
"300319.SZ","300319","麦捷科技","电子","False","0","False",,"无","0","","ok"
"301511.SZ","301511","德福科技","电力设备","False","0","False","0","无","0","","ok"
"600022.SH","600022","山东钢铁","钢铁","False","0","False","0","无","0","","ok"
"301035.SZ","301035","润丰股份","基础化工","False","0","False","0","无","0","","ok"
"002290.SZ","002290","禾盛新材","家用电器","False","0","False","0","无","0","","ok"
"600246.SH","600246","万通发展","房地产","False","0","False","0","无","0","","ok"
"002747.SZ","002747","埃斯顿","机械设备","False","0","False",,"无","0","","ok"
"688048.SH","688048","长光华芯","电子","False","0","False","0","无","0","","ok"
"002396.SZ","002396","星网锐捷","通信","False","0","False","0","无","0","","ok"
"002317.SZ","002317","众生药业","医药生物","False","0","False","0","无","0","","ok"
"002354.SZ","002354","天娱数科","传媒","False","0","False","0","无","0","","ok"
"603083.SH","603083","剑桥科技","通信","False","0","False","0","无","0","","ok"
"002428.SZ","002428","云南锗业","有色金属","False","0","False","0","无","0","","ok"
"600206.SH","600206","有研新材","电子","False","0","False","0","无","0","","ok"
"688432.SH","688432","有研硅","电子","False","0","False","0","无","0","","ok"
"300065.SZ","300065","海兰信","国防军工","False","0","False","0","无","0","","ok"
"001896.SZ","001896","豫能控股","公用事业","False","0","False","0","无","0","","ok"
"688409.SH","688409","富创精密","电子","False","0","False","0","无","0","","ok"
"300085.SZ","300085","银之杰","计算机","False","0","False","0","无","0","","ok"
"300131.SZ","300131","英唐智控","电子","False","0","False","0","无","0","","ok"
"002484.SZ","002484","江海股份","电子","False","0","False","0","无","0","","ok"
"688068.SH","688068","热景生物","医药生物","False","0","False","0","无","0","","ok"
"600129.SH","600129","太极集团","医药生物","False","0","False","0","无","0","","ok"
"603393.SH","603393","新天然气","公用事业","False","0","False",,"无","0","","ok"
"603516.SH","603516","淳中科技","计算机","False","0","False","0","无","0","","ok"
"002550.SZ","002550","千红制药","医药生物","False","0","False","0","无","0","","ok"
"301392.SZ","301392","汇成真空","机械设备","False","0","False","0","无","0","","ok"
"600629.SH","600629","华建集团","建筑装饰","False","0","False","0","无","0","","ok"
"002936.SZ","002936","郑州银行","银行","False","0","False","0","无","0","","ok"
"002541.SZ","002541","鸿路钢构","建筑装饰","False","0","False","0","无","0","","ok"
"688789.SH","688789","宏华数科","机械设备","False","0","False","0","无","0","","ok"
"002807.SZ","002807","江阴银行","银行","False","0","False","0","无","0","","ok"
"600269.SH","600269","赣粤高速","交通运输","False","0","False","0","无","0","","ok"
"688102.SH","688102","斯瑞新材","有色金属","False","0","False","0","无","0","","ok"
"688153.SH","688153","唯捷创芯","电子","False","0","False",,"无","0","","ok"
"600252.SH","600252","中恒集团","医药生物","False","0","False","0","无","0","","ok"
"002332.SZ","002332","仙琚制药","医药生物","False","0","False","0","无","0","","ok"
"300638.SZ","300638","广和通","通信","False","0","False","0","无","0","","ok"
"688208.SH","688208","道通科技","计算机","False","0","False","0","无","0","","ok"
"603950.SH","603950","长源东谷","未映射","False","0","False",,"无","0","","ok"
"688353.SH","688353","华盛锂电","电力设备","False","0","False","0","无","0","","ok"
"603881.SH","603881","数据港","通信","False","0","False","0","无","0","","ok"
"603236.SH","603236","移远通信","通信","False","0","False",,"无","0","","ok"
"000829.SZ","000829","天音控股","商贸零售","False","0","False","0","无","0","","ok"
"300083.SZ","300083","创世纪","机械设备","False","0","False","0","无","0","","ok"
"002100.SZ","002100","天康生物","农林牧渔","False","0","False","0","无","0","","ok"
"000676.SZ","000676","智度股份","传媒","False","0","False","0","无","0","","ok"
"603496.SH","603496","恒为科技","计算机","False","0","False","0","无","0","","ok"
"600490.SH","600490","鹏欣资源","有色金属","False","0","False","0","无","0","","ok"
"688798.SH","688798","艾为电子","电子","False","0","False","0","无","0","","ok"
"002881.SZ","002881","美格智能","通信","False","0","True","2","低","0","","ok"
"688593.SH","688593","新相微","电子","False","0","False","0","无","0","","ok"
"603567.SH","603567","珍宝岛","医药生物","False","0","False","0","无","0","","ok"
"603108.SH","603108","润达医疗","医药生物","False","0","False","0","无","0","","ok"
"002045.SZ","002045","国光电器","电子","False","0","False","0","无","0","","ok"
"600664.SH","600664","哈药股份","医药生物","False","0","False","0","无","0","","ok"
"603327.SH","603327","福蓉科技","电子","False","0","False","0","无","0","","ok"
"601595.SH","601595","上海电影","传媒","False","0","False","0","无","0","","ok"
"002127.SZ","002127","南极电商","商贸零售","False","0","False","0","无","0","","ok"
"600882.SH","600882","妙可蓝多","食品饮料","False","0","False","0","无","0","","ok"
"301153.SZ","301153","中科江南","计算机","False","0","False","0","无","0","","ok"
"301602.SZ","301602","超研股份","医药生物","False","0","False","0","无","0","","ok"
"300244.SZ","300244","迪安诊断","医药生物","False","0","False","0","无","0","","ok"
"301171.SZ","301171","易点天下","传媒","False","0","False","0","无","0","","ok"
"300459.SZ","300459","汤姆猫","传媒","False","0","False","0","无","0","","ok"
"605599.SH","605599","菜百股份","纺织服饰","False","0","False","0","无","0","","ok"
"301177.SZ","301177","迪阿股份","纺织服饰","False","0","False","0","无","0","","ok"
"002867.SZ","002867","周大生","纺织服饰","False","0","False","0","无","0","","ok"
"002075.SZ","002075","沙钢股份","钢铁","False","0","False","0","无","0","","ok"
"000923.SZ","000923","河钢资源","钢铁","False","0","False","0","无","0","","ok"
"002043.SZ","002043","兔宝宝","建筑材料","False","0","False","0","无","0","","ok"
"002372.SZ","002372","伟星新材","建筑材料","False","0","False","0","无","0","","ok"
"601636.SH","601636","旗滨集团","建筑材料","False","0","False","0","无","0","","ok"
"002315.SZ","002315","焦点科技","商贸零售","False","0","False","0","无","0","","ok"
"003010.SZ","003010","若羽臣","商贸零售","False","0","False","0","无","0","","ok"
"300253.SZ","300253","卫宁健康","计算机","False","0","False","0","无","0","","ok"
"603358.SH","603358","华达科技","汽车","False","0","False","0","无","0","","ok"
"002243.SZ","002243","力合科创","社会服务","False","0","False","0","无","0","","ok"
"002093.SZ","002093","国脉科技","社会服务","False","0","False","0","无","0","","ok"
"603402.SH","603402","陕西旅游","社会服务","False","0","False","0","无","0","","ok"
