"symbol","stock_code","component_name","sw_level1_name","pe_ttm","pb_mrq","ps_ttm","pcf_ocf_ttm","total_market_cap","notlimited_marketcap_a","valuation_bucket","market_cap_bucket","fundamental_quality_flag","fundamental_score","data_status"
"000012.SZ","000012","南  玻A","未映射","1058.2184","0.9057","0.8654","10.5742","11804778986.68","7602148400.24","高估值","大","中性","-0.5","ok"
"000028.SZ","000028","国药一致","医药生物","11.7873","0.6833","0.177","24.8052","12911753206.56","11090348067.15","低估值","大","稳健","1.5","ok"
"000029.SZ","000029","深深房A","未映射","935.8983","6.1146","18.1074","-344.1784","22094654400","19473854400","高估值","大","风险","-1.5","ok"
"000030.SZ","000030","富奥股份","汽车","10.619","0.8262","0.4021","14.3851","7051224464.5","6850714887","低估值","中","稳健","1.5","ok"
"000035.SZ","000035","中国天楹","环保","37.9487","1.021","2.1045","17.3709","10984950737.4","10639918440.8","中性","大","中性","0.5","ok"
"000048.SZ","000048","京基智农","农林牧渔","-58.8119","2.9802","2.262","17.5946","11192580052.5","11173581052.5","高估值","大","中性","-0.5","ok"
"000049.SZ","000049","德赛电池","电力设备","29.0924","1.3841","0.4085","8.3145","9412104926.98","9409568073.14","中性","中","中性","0.5","ok"
"000058.SZ","000058","深赛格","商贸零售","108.4795","3.7221","4.5684","24.8387","7584196139.52","6065994420.64","高估值","中","中性","-0.5","ok"
"000059.SZ","000059","华锦股份","石油石化","-5.1574","0.7287","0.1734","4.5462","7101524864.28","7101393662.28","高估值","中","中性","-0.5","ok"
"000061.SZ","000061","农 产 品","商贸零售","26.46","1.3251","1.8365","14.2538","11453226112.46","10353180170.76","中性","大","中性","0.5","ok"
"000065.SZ","000065","北方国际","建筑装饰","15.5234","0.911","0.832","10.9492","10197462156.02","8560168888.64","低估值","中","稳健","1.5","ok"
"000089.SZ","000089","深圳机场","交通运输","21.7143","1.1334","2.5825","7.2914","13473555674.13","13473555674.13","低估值","大","稳健","1.5","ok"
"000099.SZ","000099","中信海直","交通运输","33.8938","1.8844","4.6949","11.0039","10527200759.09","10527200759.09","中性","中","中性","0.5","ok"
"000156.SZ","000156","华数传媒","传媒","27.5573","0.8142","1.362","9.3933","12359059388.14","11338172099.59","中性","大","中性","0.5","ok"
"000403.SZ","000403","派林生物","医药生物","26.2933","1.1448","3.5701","-34.1371","9285382461.22","9190481497.83","中性","中","中性","-0.5","ok"
"000420.SZ","000420","吉林化纤","基础化工","218.1192","2.0489","1.649","33.6947","9097812869.1","9094731879.1","高估值","中","中性","-0.5","ok"
"000422.SZ","000422","湖北宜化","基础化工","16.4651","2.2667","0.5316","3.4182","14105973714.64","13720401554.64","低估值","大","稳健","1.5","ok"
"000498.SZ","000498","山东路桥","建筑装饰","3.6685","0.4714","0.1163","-3.4186","7870881061.68","7348193239.53","低估值","中","中性","0.5","ok"
"000503.SZ","000503","国新健康","计算机","-15.95","6.7688","18.5235","-78.1378","6492443889.36","6492050916","高估值","中","风险","-1.5","ok"
"000506.SZ","000506","招金黄金","有色金属","33.3456","13.1031","19.1634","548.5179","11649882722.94","11645985290.94","高估值","大","中性","-0.5","ok"
"000534.SZ","000534","万泽股份","医药生物","67.5197","7.9327","10.3595","123.3373","13625327317.84","13437867216.34","中性","大","中性","0.5","ok"
