"symbol","stock_code","component_name","sw_level1_name","news_count_3d","news_count_15d","top_news_score","matched_topics","sentiment_rule","novelty_flag","news_catalyst_score","top_news_title","data_status"
"002636.SZ","002636","金安国纪","电子","0","0",,"","中性","False","0","","missing"
"603127.SH","603127","昭衍新药","医药生物","0","0",,"","中性","False","0","","missing"
"301217.SZ","301217","铜冠铜箔","电力设备","0","0",,"","中性","False","0","","missing"
"002859.SZ","002859","洁美科技","电子","1","1",,"","中性","True","0.6","","ok"
"000636.SZ","000636","风华高科","电子","0","0",,"","中性","False","0","","missing"
"301225.SZ","301225","恒勃股份","汽车","1","1",,"","中性","True","0.6","","ok"
"688766.SH","688766","普冉股份","电子","0","0",,"","中性","False","0","","missing"
"688380.SH","688380","中微半导","电子","1","1",,"","中性","True","0.6","","ok"
"002755.SZ","002755","奥赛康","医药生物","1","1",,"","中性","True","0.6","","ok"
"300007.SZ","300007","汉威科技","机械设备","1","1",,"","中性","True","0.6","","ok"
"603124.SH","603124","江南新材","未映射","0","0",,"","中性","False","0","","missing"
"603730.SH","603730","岱美股份","汽车","1","1",,"","中性","True","0.6","","ok"
"688484.SH","688484","南芯科技","电子","0","0",,"","中性","False","0","","missing"
"688146.SH","688146","中船特气","电子","0","0",,"","中性","False","0","","missing"
"605116.SH","605116","奥锐特","医药生物","1","1",,"","中性","True","0.6","","ok"
"300319.SZ","300319","麦捷科技","电子","1","1",,"","中性","True","0.6","","ok"
"301511.SZ","301511","德福科技","电力设备","1","1",,"","中性","True","0.6","","ok"
"600022.SH","600022","山东钢铁","钢铁","1","1",,"","中性","True","0.6","","ok"
"301035.SZ","301035","润丰股份","基础化工","1","1",,"","中性","True","0.6","","ok"
"002290.SZ","002290","禾盛新材","家用电器","1","1",,"","中性","True","0.6","","ok"
"600246.SH","600246","万通发展","房地产","0","0",,"","中性","False","0","","missing"
"002747.SZ","002747","埃斯顿","机械设备","0","0",,"","中性","False","0","","missing"
"688048.SH","688048","长光华芯","电子","0","0",,"","中性","False","0","","missing"
"002396.SZ","002396","星网锐捷","通信","0","0",,"","中性","False","0","","missing"
"002317.SZ","002317","众生药业","医药生物","0","0",,"","中性","False","0","","missing"
"002354.SZ","002354","天娱数科","传媒","1","1",,"","中性","True","0.6","","ok"
"603083.SH","603083","剑桥科技","通信","0","0",,"","中性","False","0","","missing"
"002428.SZ","002428","云南锗业","有色金属","0","0",,"","中性","False","0","","missing"
"600206.SH","600206","有研新材","电子","0","0",,"","中性","False","0","","missing"
"688432.SH","688432","有研硅","电子","0","0",,"","中性","False","0","","missing"
"300065.SZ","300065","海兰信","国防军工","1","1",,"","中性","True","0.6","","ok"
"001896.SZ","001896","豫能控股","公用事业","1","1",,"","中性","True","0.6","","ok"
"688409.SH","688409","富创精密","电子","0","0",,"","中性","False","0","","missing"
"300085.SZ","300085","银之杰","计算机","1","1",,"","中性","True","0.6","","ok"
"300131.SZ","300131","英唐智控","电子","1","1",,"","中性","True","0.6","","ok"
"002484.SZ","002484","江海股份","电子","0","0",,"","中性","False","0","","missing"
"688068.SH","688068","热景生物","医药生物","1","1",,"","中性","True","0.6","","ok"
"600129.SH","600129","太极集团","医药生物","0","0",,"","中性","False","0","","missing"
"603393.SH","603393","新天然气","公用事业","1","1",,"","中性","True","0.6","","ok"
"603516.SH","603516","淳中科技","计算机","1","1",,"","中性","True","0.6","","ok"
"002550.SZ","002550","千红制药","医药生物","1","1",,"","中性","True","0.6","","ok"
"301392.SZ","301392","汇成真空","机械设备","1","1",,"","中性","True","0.6","","ok"
"600629.SH","600629","华建集团","建筑装饰","1","1",,"","中性","True","0.6","","ok"
"002936.SZ","002936","郑州银行","银行","1","1",,"","中性","True","0.6","","ok"
"002541.SZ","002541","鸿路钢构","建筑装饰","1","1",,"","中性","True","0.6","","ok"
"688789.SH","688789","宏华数科","机械设备","1","1",,"","中性","True","0.6","","ok"
"002807.SZ","002807","江阴银行","银行","1","1",,"","中性","True","0.6","","ok"
"600269.SH","600269","赣粤高速","交通运输","1","1",,"","中性","True","0.6","","ok"
"688102.SH","688102","斯瑞新材","有色金属","1","1",,"","中性","True","0.6","","ok"
"688153.SH","688153","唯捷创芯","电子","1","1",,"","中性","True","0.6","","ok"
"600252.SH","600252","中恒集团","医药生物","1","1",,"","中性","True","0.6","","ok"
"002332.SZ","002332","仙琚制药","医药生物","1","1",,"","中性","True","0.6","","ok"
"300638.SZ","300638","广和通","通信","0","0",,"","中性","False","0","","missing"
"688208.SH","688208","道通科技","计算机","1","1",,"","中性","True","0.6","","ok"
"603950.SH","603950","长源东谷","未映射","1","1",,"","中性","True","0.6","","ok"
"688353.SH","688353","华盛锂电","电力设备","1","1",,"","中性","True","0.6","","ok"
"603881.SH","603881","数据港","通信","1","1",,"","中性","True","0.6","","ok"
"603236.SH","603236","移远通信","通信","0","0",,"","中性","False","0","","missing"
"000829.SZ","000829","天音控股","商贸零售","1","1",,"","中性","True","0.6","","ok"
"300083.SZ","300083","创世纪","机械设备","0","0",,"","中性","False","0","","missing"
